ID,NAME,TYPE,SOURCE,STATUS,DDL_CODE,COPY_CODE,FILE_PREFIX,DQ_CODE,ETL_CODE,STAGE_TABLE,DQ_TABLE,ETL_TABLE,TARGET_TABLE,CHILD_TABLES
1,df_address,LOAD,,1,ddl_dim_address.sql,,aims-address,dq_dim_address.sql,etl_dim_address.sql,StageAddress,DQAddress,ETLAddress,DimAddress,
,,,,,,,,,,,,,,
2,df_property_title,LOAD,,1,ddl_dim_property_title.sql,,nz-property-titles,dq_dim_property_title.sql,etl_dim_property_title.sql,StagePropertyTitle,DQPropertyTitle,ETLPropertyTitle,DimPropertyTitle,DimTitleBoundary
3,df_title_boundary,SQL/EXTRACT,df_property_title:etl,1,,,,,,,,,DimTitleBoundary,
,,,,,,,,,,,,,,
5,df_street_address,LOAD,,1,ddl_dim_street_address.sql,,nz-street-address,dq_dim_street_address.sql,etl_dim_street_address.sql,StageStreetAddress,DQStreetAddress,ETLStreetAddress,DimStreetAddress,DimSuburbTown|DimStreetRoad|DimAddressInfo
6,df_suburb_town,SQL/EXTRACT,df_street_address:etl,1,,,,,,,,,DimSuburbTown,
7,df_street_road,SQL/EXTRACT,df_street_address:etl,1,,,,,,,,,DimStreetRoad,
8,df_address_info,SQL/EXTRACT,df_street_address:etl,1,,,,,,,,,DimAddressInfo,
,,,,,,,,,,,,,,
9,df_title_address,LOAD,,1,ddl_dim_title_address.sql,,nz-title-address,dq_dim_title_address.sql,etl_dim_title_address.sql,StageTitleAddress,DQTitleAddress,ETLTitleAddress,DimTitleAddress,
10,df_title_parcel_association,LOAD,,1,ddl_dim_title_parcel_association.sql,,nz-title-parcel-association-list,dq_dim_title_parcel_association.sql,etl_dim_title_parcel_association.sql,StageTitleParcelAssociation,DQTitleParcelAssociation,ETLTitleParcelAssociation,DimTitleParcelAssociation,
,,,,,,,,,,,,,,
11,df_title_memorials_mortgages,LOAD,,1,ddl_dim_title_memorials_mortgages.sql,,nz-title-memorials-list-including-mortgages-leases-easements,dq_dim_title_memorials_mortgages.sql,etl_dim_title_memorials_mortgages.sql,StageTitleMemorialsMortgages,DQTitleMemorialsMortgages,ETLTitleMemorialsMortgages,FactTitleMemorialsMortgages,DimMorgageInstrumentType|DimLandDistrict|DimEncumbrancees
12,df_mortgage_instrument_type,SQL/EXTRACT,df_title_memorials_mortgages:etl,1,,,,,,,,,DimMorgageInstrumentType,
13,df_land_district,SQL/EXTRACT,df_title_memorials_mortgages:etl,1,,,,,,,,,DimLandDistrict,
14,df_encumbrancees,SQL/EXTRACT,df_title_memorials_mortgages:etl,1,,,,,,,,,DimEncumbrancees,
,,,,,,,,,,,,,,
15,df_title_owner,LOAD,,1,ddl_dim_title_owner.sql,,nz-property-titles-including-owners-split,dq_dim_title_owner.sql,etl_dim_title_owner.sql,StageTitleOwner,DQTitleOwner,ETLTitleOwner,DimTitleOwner,